speech_id,url,title,author,date,year,word_count,jurisdiction,jurisdiction_category,country_method,institution_alias,inflation_mentioned,inflation_persistence,persistence_pattern,persistence_phrase,policy_clause_count,hawkishness_score,tone_mixedness,tone_signal_strength,tone_valid,tone_label
d99dc8c6df441756,https://www.bis.org/review/r980114a.pdf,"Mr. Stals discusses the current monetary situation in South Africa and the implications for 1998 (Central Bank Articles and Speeches, 18 Nov 97)",Chris Stals,1997-11-18 00:00:00,1997,2384,South Africa,national,institution_alias,South African Reserve Bank,True,False,,,33,0.47291298,0.94582596,0.57700318,True,balanced
b37f83226333c353,https://www.bis.org/review/r980109b.pdf,"Bank of Japan's December review of monetary and economic trends in Japan (Central Bank Articles and Speeches, 22 Dec 97)",Bank of Japan,1997-12-22 00:00:00,1997,1336,Japan,national,institution_alias,Bank of Japan,False,False,,,2,0.40985269,0.81970538,0.75223295,True,dovish
687538c12e9b412b,https://www.bis.org/review/r980109a.pdf,"Mr. Matsushita discusses recent monetary and economic conditions in Japan and comments on the Bank of Japan's monetary policy management (Central Bank Articles and Speeches, 5 Nov 97)",Masaru Hayami,1997-11-05 00:00:00,1997,5717,Japan,national,institution_alias,Bank of Japan,True,False,,,83,0.30644881,0.61289762,0.62602777,True,dovish
ac2d862f14c76a8d,https://www.bis.org/review/r980102e.pdf,"Mr. Kelley discusses the 'Millennium Bug' from a public sector perspective (Central Bank Articles and Speeches, 15 Dec 97)","Edward W Kelley, Jr",1997-12-15 00:00:00,1997,3160,United States,national,institution_alias,Federal Reserve System,False,False,,,3,0.42833370,0.85666741,0.26715218,True,dovish
f315c574c7c7ea91,https://www.bis.org/review/r980102d.pdf,"Mr. Chan reports on the Hong Kong dollar post-July 1997 (Central Bank Articles and Speeches, 4 Dec 97)",Deputy Chief Executive of the Hong Kong Monetary Institute,1997-12-04 00:00:00,1997,1777,Unresolved,unresolved,unresolved,,True,False,,,13,0.46170515,0.92341030,0.60233323,True,balanced
797195adf20fff1d,https://www.bis.org/review/r980102c.pdf,"Mr. Macfarlane discusses the changing nature of economic crises (Central Bank Articles and Speeches, 4 Dec 97)",Ian J Macfarlane,1997-12-04 00:00:00,1997,3571,Australia,national,institution_alias,Reserve Bank of Australia,True,False,,,18,0.42691817,0.85383634,0.43099907,True,dovish
13f87cad74796ce1,https://www.bis.org/review/r980102b.pdf,"Mr. Yam comments on the financial turmoil in Asia (Central Bank Articles and Speeches, 2 Dec 97)",Joseph Yam,1997-12-02 00:00:00,1997,2938,Hong Kong SAR,territory,speaker_fallback,,True,False,,,4,0.41297019,0.82594039,0.61908020,True,dovish
a5052e8f11620aaf,https://www.bis.org/review/r980102a.pdf,"Mr. Tietmeyer considers the euro as a denationalised currency (Central Bank Articles and Speeches, 27 Nov 1997)",Hans Tietmeyer,1997-11-27 00:00:00,1997,5502,Germany,national,institution_alias,Deutsche Bundesbank,True,False,,,36,0.39932462,0.79864924,0.41559154,True,dovish
c379f4bcdaefbb5e,https://www.bis.org/review/r971216c.pdf,"Mr. Thiessen's remarks to the Canadian Club of Toronto (Central Bank Articles and Speeches, 1 Dec 97)",Gordon Thiessen,1997-12-01 00:00:00,1997,2552,Canada,national,institution_alias,Bank of Canada,True,False,,,36,0.47338624,0.94677248,0.64119209,True,balanced
81d63185a3fb248b,https://www.bis.org/review/r971216b.pdf,"Mr. Grenville considers Asia and the financial sector (Central Bank Articles and Speeches, 4 Dec 97)",Stephen Grenville,1997-12-04 00:00:00,1997,2726,Australia,national,institution_alias,Reserve Bank of Australia,True,False,,,6,0.50068291,0.99863418,0.43158325,True,balanced
7cad42d2663201aa,https://www.bis.org/review/r971216a.pdf,"Bank of Japan presents summaries of articles published in the November edition of its Quarterly Bulletin (Central Bank Articles and Speeches, 28 Nov 97)",Bank of Japan,1997-11-28 00:00:00,1997,1842,Japan,national,institution_alias,Bank of Japan,False,False,,,5,0.42880489,0.85760979,0.72675851,True,dovish
53bea3ce73b2f96c,https://www.bis.org/review/r971208g.pdf,"Mr. Yam looks at the future of Hong Kong as a financial services centre for China and the Asian region (Central Bank Articles and Speeches, 28 Oct 97)",Joseph Yam,1997-10-28 00:00:00,1997,2578,Hong Kong SAR,territory,institution_alias,Hong Kong Monetary Authority,True,False,,,11,0.59834686,0.80330628,0.66693012,True,hawkish
ec89deccead23b5d,https://www.bis.org/review/r971208f.pdf,"Mr. Hannoun discusses the operational framework for EMU and the challenge of managing price stability (Central Bank Articles and Speeches, 20 Nov 97)",Hervé Hannoun,1997-11-20 00:00:00,1997,4322,France,national,institution_alias,Banque de France,True,False,,,87,0.49432494,0.98864988,0.41045191,True,balanced
77ea28b1c58da040,https://www.bis.org/review/r971208e.pdf,"Bank of Japan's November review of monetary and economic trends in Japan (Central Bank Articles and Speeches, 26 Nov 97)",Bank of Japan,1997-11-26 00:00:00,1997,1045,Japan,national,institution_alias,Bank of Japan,False,False,,,3,0.35799402,0.71598804,0.78675541,True,dovish
64275b54d4913e5b,https://www.bis.org/review/r971208d.pdf,"Mr. Greenspan's remarks to the Economic Club of New York (Central Bank Articles and Speeches, 2 Dec 97)",Alan Greenspan,1997-12-02 00:00:00,1997,4206,United States,national,institution_alias,Federal Reserve System,True,False,,,7,0.61149012,0.77701976,0.69470780,True,hawkish
9b6742ea53bd8019,https://www.bis.org/review/r971208c.pdf,"Mr. Camdessus considers the lessons from Southeast Asia (Central Bank Articles and Speeches, 13 Nov 97)",M Camdessus,1997-11-13 00:00:00,1997,3046,International,international,institution_alias,International Monetary Fund,False,False,,,7,0.49804055,0.99608109,0.55939737,True,balanced
b24f8243f83181dc,https://www.bis.org/review/r971208b.pdf,"Mr. Fazio considers the issue of efficiency and instability in global finance (Central Bank Articles and Speeches, 20 Nov 97)",Antonio Fazio,1997-11-20 00:00:00,1997,2806,Italy,national,institution_alias,Bank of Italy,True,False,,,29,0.57816057,0.84367885,0.68868937,True,hawkish
f4d007d75f65b328,https://www.bis.org/review/r971208a.pdf,"Mr. Plenderleith considers what is new in the financial markets in the United Kingdom (Central Bank Articles and Speeches, 18 Nov 97)",Ian Plenderleith,1997-11-18 00:00:00,1997,4385,United Kingdom,national,institution_alias,Bank of England,True,False,,,19,0.41340501,0.82681003,0.38783210,True,dovish
38d9f6a7c794419d,https://www.bis.org/review/r971202b.pdf,"Mr. McDonough gives a US perspective on Economic and Monetary Union in Europe (Central Bank Articles and Speeches, 17 Nov 97)",William J McDonough,1997-11-17 00:00:00,1997,4474,United States,national,institution_alias,Federal Reserve Bank,True,False,,,12,0.35014997,0.70029993,0.36488554,True,dovish
9ab56678a5d9ab6d,https://www.bis.org/review/r971202a.pdf,"Mr. Sheng looks at asset prices, capital flows and risk management",David Carse,1997-12-01 23:00:00,1997,4390,Hong Kong SAR,territory,institution_alias,Hong Kong Monetary Authority,True,False,,,25,0.69505274,0.60989452,0.61340351,True,hawkish
99cd8182ae14f55f,https://www.bis.org/review/r971127b.pdf,"Mr. Brash looks at the implications of the global financial marketplace for New Zealand (Central Bank Articles and Speeches, 19 Nov 97)",Donald T Brash,1997-11-19 00:00:00,1997,5162,New Zealand,national,institution_alias,Reserve Bank of New Zealand,True,False,,,4,0.69425383,0.61149234,0.53088876,True,hawkish
a6b91f8b27e87486,https://www.bis.org/review/r971127a.pdf,"Mr. Stals discusses monetary policy challenges in South Africa (Central Bank Articles and Speeches, 7 Nov 97)",Chris Stals,1997-11-07 00:00:00,1997,2704,South Africa,national,institution_alias,South African Reserve Bank,True,False,,,55,0.43701516,0.87403031,0.45287310,True,dovish
fe2c72c58b0fb103,https://www.bis.org/review/r971121e.pdf,"Mr. Stals discusses the performance of the South African economy in the light of recent developments in East Asian countries (Central Bank Articles and Speeches, 28 Oct 97)",Chris Stals,1997-10-28 00:00:00,1997,2900,South Africa,national,speaker_fallback,,True,False,,,22,0.49678046,0.99356091,0.57683295,True,balanced
c534a293a8acb47d,https://www.bis.org/review/r971121d.pdf,"Mr. Sherwin considers growth, productivity and monetary policy: the longer-term perspective (Central Bank Articles and Speeches, 12 Nov 97)",Murray Sherwin,1997-11-12 00:00:00,1997,3164,New Zealand,national,institution_alias,Reserve Bank of New Zealand,True,False,,,30,0.48758396,0.97516791,0.55401018,True,balanced
1133421497411e07,https://www.bis.org/review/r971121c.pdf,"Mr. Greenspan's remarks at the Center for Financial Studies in Frankfurt (Central Bank Articles and Speeches, 7 Nov 97)",Alan Greenspan,1997-11-07 00:00:00,1997,3941,United States,national,institution_alias,Federal Reserve System,True,False,,,25,0.52311785,0.95376430,0.50502288,True,balanced
259fb6ad0e81aea6,https://www.bis.org/review/r971121b.pdf,"Mr. George looks at the prospects for the City of London - in or out of EMU (Central Bank Articles and Speeches, 24 Oct 97)",Edward George,1997-10-24 00:00:00,1997,3173,United Kingdom,national,institution_alias,Bank of England,False,False,,,6,0.28820809,0.57641619,0.45045533,True,dovish
e6c9bf3f1c403396,https://www.bis.org/review/r971121a.pdf,"Mr. Stals considers the role of monetary policy in stabilising the business cycle during the pre- and post-election period (Central Bank Articles and Speeches, 7 Nov 97)",Chris Stals,1997-11-07 00:00:00,1997,2598,South Africa,national,speaker_fallback,,True,False,,,38,0.46813823,0.93627646,0.53207055,True,balanced
d7bda28010abd711,https://www.bis.org/review/r971119e.pdf,"Mr. Erçel considers the European financial markets and their implications for Turkish institutions (Central Bank Articles and Speeches, 23 Oct 97)",Gazi Erçel,1997-10-23 00:00:00,1997,2597,Türkiye,national,institution_alias,Central Bank of the Republic of Turkey,True,False,,,9,0.44640029,0.89280057,0.45739147,True,dovish
6b6f5abc7fb9f5ef,https://www.bis.org/review/r971119d.pdf,"Mr. Greenspan's testimony before the House of Representatives' Committee on Banking and Financial Services (Central Bank Articles and Speeches, 13 Nov 97)",Alan Greenspan,1997-11-13 00:00:00,1997,1437,United States,national,institution_alias,Federal Reserve System,True,False,,,3,0.29920980,0.59841959,0.74778094,True,dovish
051784c6ce0f108f,https://www.bis.org/review/r971119c.pdf,"Remarks by Ms. Phillips at the Asset/Liability and Treasury Management Conference of the Bank Administration Institute (Central Bank Articles and Speeches, 4 Nov 97)",Susan M Phillips,1997-11-04 00:00:00,1997,3042,United States,national,institution_alias,Federal Reserve System,False,False,,,5,0.60695936,0.78608129,0.53322844,True,hawkish
7a71b8c715ab133e,https://www.bis.org/review/r971119b.pdf,"Ms. Phillips discusses trends and challenges in Federal Reserve bank supervision (Central Bank Articles and Speeches, 30 Oct 97)",Susan M Phillips,1997-10-30 00:00:00,1997,3343,United States,national,institution_alias,Federal Reserve System,False,False,,,2,0.44428604,0.88857209,0.43680661,True,dovish
5e4141371b7fc11a,https://www.bis.org/review/r971119a.pdf,"Mr. Kelley's testimony to the US House of Representatives Committee on Banking and Financial Services (Central Bank Articles and Speeches, 4 Nov 97)","Edward W Kelley, Jr",1997-11-04 00:00:00,1997,4229,United States,national,institution_alias,Federal Reserve System,False,False,,,1,0.56982262,0.86035475,0.53868700,True,hawkish
3298d501baf5cee1,https://www.bis.org/review/r971112b.pdf,"Mr. Macfarlane's statement to the House of Representatives Standing Committee on Financial Institutions and Public Administration (Central Bank Articles and Speeches, 6 Nov 97)",Ian J Macfarlane,1997-11-06 00:00:00,1997,4263,Australia,national,institution_alias,Reserve Bank of Australia,True,False,,,37,0.46686586,0.93373172,0.54523639,True,balanced
e575bbb3b6834a22,https://www.bis.org/review/r971112a.pdf,"M. Roth s'interroge sur la relation entre le franc suisse et l'euro (Central Bank Articles and Speeches, 27 Oct 97)",Jean-Pierre Roth,1997-10-27 00:00:00,1997,2988,Switzerland,national,institution_alias,Banque nationale suisse,True,False,,,3,0.64681415,0.70637170,0.59458644,True,hawkish
ff83d250a70e1846,https://www.bis.org/review/r971107d.pdf,"Mr. Meyer considers the approach of the Euro (Central Bank Articles and Speeches, 4 Nov 97)",Hans Meyer,1997-11-04 00:00:00,1997,3400,Switzerland,national,institution_alias,Swiss National Bank,True,False,,,49,0.47187891,0.94375782,0.46675237,True,balanced
dae75cf2eefb3f13,https://www.bis.org/review/r971107c.pdf,"M. Tietmeyer explique la politique de stabilité dans la future UEM (Central Bank Articles and Speeches, 27 Oct 97)",Hans Tietmeyer,1997-10-27 00:00:00,1997,1958,Germany,national,institution_alias,Deutsche Bundesbank,True,False,,,1,0.74160338,0.51679325,0.63642691,True,hawkish
0ba4ee943689c485,https://www.bis.org/review/r971107b.pdf,"Mr. Tietmeyer asks whether the euro can assume the role of a major international currency (Central Bank Articles and Speeches, 28 Oct 97)",Hans Tietmeyer,1997-10-28 00:00:00,1997,1987,Germany,national,institution_alias,Deutsche Bundesbank,True,False,,,8,0.45547697,0.91095394,0.38060793,True,balanced
90264d5804450aae,https://www.bis.org/review/r971107a.pdf,"Mr. Bäckström discusses the current situation for monetary policy in Sweden (Central Bank Articles and Speeches, 23 Oct 97)",Urban Bäckström,1997-10-23 00:00:00,1997,3030,Sweden,national,speaker_fallback,,True,False,,,82,0.60554304,0.78891392,0.56914915,True,hawkish
cf8066fb9414eb4a,https://www.bis.org/review/r971105g.pdf,"Mr. Wellink discusses recent developments in the Dutch economy (Central Bank Articles and Speeches, 25 Oct 97)",Nout Wellink,1997-10-25 00:00:00,1997,2352,Netherlands,national,institution_alias,Netherlands Bank,False,False,,,10,0.39885968,0.79771935,0.53896517,True,dovish
66bb64aef4b76149,https://www.bis.org/review/r971105f.pdf,"Mr. Issing considers the future role of the euro in the international financial system (Central Bank Articles and Speeches, 24 Oct 97)",Otmar Issing,1997-10-24 00:00:00,1997,3757,Germany,national,institution_alias,Deutsche Bundesbank,True,False,,,15,0.45054237,0.90108473,0.52147428,True,balanced
37c3fa58eb736970,https://www.bis.org/review/r971105e.pdf,"Mr. Gaddum discusses Germany as a financial centre and the strengths of the German capital market of today (Central Bank Articles and Speeches, 14 Oct 97)",Johann Wilhelm Gaddum,1997-10-14 00:00:00,1997,2321,Germany,national,institution_alias,Deutsche Bundesbank,False,False,,,4,0.34786063,0.69572127,0.29266541,True,dovish
fa1fe320bab0bc28,https://www.bis.org/review/r971105d.pdf,"Mr. Reddy considers the future of India's debt market 1997 (Central Bank Articles and Speeches, 9 Oct 97)",Y V Reddy,1997-10-09 00:00:00,1997,3128,India,national,institution_alias,Reserve Bank of India,False,False,,,6,0.50602296,0.98795407,0.54470204,True,balanced
9f253225790f6367,https://www.bis.org/review/r971105c.pdf,Bank of Japan presents its quarterly economic outlook for autumn 1997,Bank of Japan,1997-11-04 23:00:00,1997,969,Japan,national,institution_alias,Bank of Japan,False,False,,,0,0.50000000,0.00000000,0.00000000,False,insufficient_signal
4c3c181411d4b0b5,https://www.bis.org/review/r971104b.pdf,"Mr. Greenspan's testimony before the Joint Economic Committee of the US Congress (Central Bank Articles and Speeches, 29 Oct 97)",Alan Greenspan,1997-10-29 00:00:00,1997,2082,United States,national,institution_alias,Federal Reserve System,True,False,,,7,0.38192171,0.76384342,0.74367510,True,dovish
33d121532cc5240c,https://www.bis.org/review/r971030d.pdf,"Mr. Tietmeyer considers European monetary integration and its implications for the international monetary system (Central Bank Articles and Speeches, 17 Oct 97)",Hans Tietmeyer,1997-10-17 00:00:00,1997,5072,Germany,national,institution_alias,Deutsche Bundesbank,True,False,,,41,0.57433262,0.85133476,0.47978482,True,hawkish
d9deb0c437e34067,https://www.bis.org/review/r971030c.pdf,"Ms. Phillips reassesses the stock market crash of 1987 in the context of subsequent market and regulatory changes (Central Bank Articles and Speeches, 15 Oct 97)",Susan M Phillips,1997-10-15 00:00:00,1997,1810,United States,national,institution_alias,Federal Reserve System,False,False,,,0,0.50000000,0.00000000,0.00000000,False,insufficient_signal
120fe719f7522a70,https://www.bis.org/review/r971030b.pdf,"Mr. Heikensten considers inflation and the interest rate in Sweden (Central Bank Articles and Speeches, 15 Oct 97)",Lars Heikensten,1997-10-15 00:00:00,1997,2770,Sweden,national,speaker_fallback,,True,False,,,70,0.59933116,0.80133767,0.59089487,True,hawkish
56090241ca42e64d,https://www.bis.org/review/r971030a.pdf,"Mr. Rangarajan addresses a special convocation of the Indian Institute of Management (Central Bank Articles and Speeches, 3 Oct 97)",Bimal Jalan,1997-10-03 00:00:00,1997,1052,India,national,institution_alias,Reserve Bank of India,False,False,,,0,0.50000000,0.00000000,0.00000000,False,insufficient_signal
9d53a3f764073e2f,https://www.bis.org/review/r971021d.pdf,"Mr. Greenspan inaugurates a series of economic seminars (Central Bank Articles and Speeches, 14 Oct 97)",Alan Greenspan,1997-10-14 00:00:00,1997,3233,United States,national,institution_alias,Federal Reserve System,False,False,,,1,0.44242726,0.88485451,0.20824917,True,dovish
6dc8a44d1fe61d0a,https://www.bis.org/review/r971021c.pdf,"Mr. Meyer focuses on the effect of globalization on the conduct of US monetary policy (Central Bank Articles and Speeches, 14 Oct 97)",Laurence H Meyer,1997-10-14 00:00:00,1997,5203,United States,national,institution_alias,Federal Reserve System,True,False,,,93,0.58580768,0.82838463,0.49953706,True,hawkish
cba961418363def8,https://www.bis.org/review/r971021b.pdf,"Mr. Greenspan considers the globalization of finance (Central Bank Articles and Speeches, 14 Oct 97)",Alan Greenspan,1997-10-14 00:00:00,1997,2855,United States,national,institution_alias,Federal Reserve System,True,False,,,5,0.49409931,0.98819862,0.46869048,True,balanced
1a0eb84b1a131059,https://www.bis.org/review/r971021a.pdf,"Mr. Thiessen discusses some important issues and challenges facing monetary policy in Canada in the period ahead (Central Bank Articles and Speeches, 7 Oct 97)",Gordon Thiessen,1997-10-07 00:00:00,1997,2349,Canada,national,institution_alias,Bank of Canada,True,False,,,46,0.48923914,0.97847828,0.61025759,True,balanced
2cea9830926fd8eb,https://www.bis.org/review/r971010d.pdf,"Mr. Greenspan's testimony before the US House of Representatives Committee on the Budget (Central Bank Articles and Speeches, 8 Oct 97)",Alan Greenspan,1997-10-08 00:00:00,1997,4067,United States,national,institution_alias,Federal Reserve System,True,False,,,18,0.58307649,0.83384702,0.74939453,True,hawkish
065f9ca8e2b9fda8,https://www.bis.org/review/r971010c.pdf,"Ms. Phillips' testimony before the Subcommittee on Financial Institutions and Consumer Credit of the Committee on Banking and Financial Services of the U.S. House of Representatives (Central Bank Articles and Speeches, 8 Oct 97)",Susan M Phillips,1997-10-08 00:00:00,1997,4676,United States,national,institution_alias,Federal Reserve System,False,False,,,2,0.54095571,0.91808857,0.47344818,True,balanced
3cce014b3b56b393,https://www.bis.org/review/r971010b.pdf,"Mr. Greenspan considers some of the effects of technological change (Central Bank Articles and Speeches, 5 Oct 97)",Alan Greenspan,1997-10-05 00:00:00,1997,2821,United States,national,institution_alias,Federal Reserve System,False,False,,,4,0.36250692,0.72501383,0.52037600,True,dovish
fb57e54029408da6,https://www.bis.org/review/r971010a.pdf,"Mr. Brash asks how fast the New Zealand economy can grow (Central Bank Articles and Speeches, 6 Oct 97)",Donald T Brash,1997-10-06 00:00:00,1997,4539,New Zealand,national,institution_alias,Reserve Bank of New Zealand,True,False,,,21,0.51096173,0.97807653,0.53645698,True,balanced
e9352cbbf7251435,https://www.bis.org/review/r971007c.pdf,"Mr. Yam gives a broadbrush picture of Asian monetary co-operation (Central Bank Articles and Speeches, 21 Sep 97)",Joseph Yam,1997-09-21 00:00:00,1997,8340,Hong Kong SAR,territory,institution_alias,Hong Kong Monetary Authority,True,False,,,13,0.47054025,0.94108049,0.52725736,True,balanced
9c041312ff2c1fd6,https://www.bis.org/review/r971007b.pdf,"Ms. Phillips discusses the Federal Reserve Board's views on proposed accounting standards for derivatives and risk management activities (Central Bank Articles and Speeches, 1 Oct 97)",Susan M Phillips,1997-10-01 00:00:00,1997,2641,United States,national,institution_alias,Federal Reserve System,False,False,,,3,0.47902933,0.95805867,0.54376016,True,balanced
05bc2a111d4aa4f0,https://www.bis.org/review/r971007a.pdf,"Mr. Macfarlane draws some conclusions about the direction in which monetary policy regimes are likely to evolve (Central Bank Articles and Speeches, 29 Sep 97)",Ian J Macfarlane,1997-09-29 00:00:00,1997,6677,Australia,national,institution_alias,Reserve Bank of Australia,True,False,,,100,0.54323440,0.91353121,0.53905104,True,balanced
fe98c0227a185c37,https://www.bis.org/review/r971001h.pdf,"Mr. George discusses the advantages and disadvantages of EMU (Central Bank Articles and Speeches, 23 Sep 97)",Edward George,1997-09-23 00:00:00,1997,2127,United Kingdom,national,institution_alias,Bank of England,True,False,,,12,0.36770549,0.73541098,0.43865556,True,dovish
3b645562108421bd,https://www.bis.org/review/r971001g.pdf,"Mr. Thompson gives his views on the changing scene in the banking industry in Australia (Central Bank Articles and Speeches, 25 Sep 97)",Graeme J. Thompson,1997-09-25 00:00:00,1997,3517,Australia,national,institution_alias,Reserve Bank of Australia,True,False,,,6,0.48826077,0.97652154,0.49551117,True,balanced
9b50c560bf2a2fef,https://www.bis.org/review/r971001f.pdf,"Mr. Bäckström elucidates the problems Sweden went through in the early 1990s, and considers whether other countries might draw lessons from the Swedish experience (Central Bank Articles and Speeches, 29 Aug 87)",Urban Bäckström,1997-08-29 00:00:00,1997,3462,Sweden,national,speaker_fallback,,True,False,,,22,0.54563769,0.90872462,0.66918020,True,balanced
649565cc060d8612,https://www.bis.org/review/r971001e.pdf,"Mr. Kelley looks at the role of the Federal Reserve in the Payments System (Central Bank Articles and Speeches, 23 Sep 97)","Edward W Kelley, Jr",1997-09-23 00:00:00,1997,3363,United States,national,institution_alias,Federal Reserve System,False,False,,,3,0.39807085,0.79614170,0.29851858,True,dovish
0ef2c58d5460d12d,https://www.bis.org/review/r971001d.pdf,Ms. Phillips discusses derivatives and risk management in the context of banking supervision,Susan M Phillips,1997-09-30 22:00:00,1997,2681,United States,national,institution_alias,Federal Reserve System,False,False,,,2,0.35734839,0.71469678,0.44483947,True,dovish
4ec7686365e94d1a,https://www.bis.org/review/r971001c.pdf,"Mr. McDonough considers the challenge presented by the Year 2000 problem (Central Bank Articles and Speeches, 21 Sep 97)",William J McDonough,1997-09-21 00:00:00,1997,1991,United States,national,institution_alias,Federal Reserve Bank,False,False,,,0,0.50000000,0.00000000,0.00000000,False,insufficient_signal
887f7bf0b0b8966c,https://www.bis.org/review/r971001b.pdf,"Mr. Wellink discusses different forms of economic policy co-ordination in EMU (Central Bank Articles and Speeches, 10 Sep 97)",Nout Wellink,1997-09-10 00:00:00,1997,3593,Netherlands,national,institution_alias,Netherlands Bank,True,False,,,28,0.47046441,0.94092882,0.47943781,True,balanced
